accession	tree_id	uniprot_id	protein_name	organism	genus	length	reviewed	source_queries	enzyme_class	reference_label	taxonomic_lineage	taxon_domain
A0A3D9SNA7	tr|A0A3D9SNA7|A0A3D9SNA7_9ACTN	A0A3D9SNA7_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Thermomonospora umbrina	Thermomonospora	296	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Thermomonospora (genus)	Bacteria
A0A3D9SP59	tr|A0A3D9SP59|A0A3D9SP59_9ACTN	A0A3D9SP59_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Thermomonospora umbrina	Thermomonospora	280	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Thermomonospora (genus)	Bacteria
A0A3D9SPQ3	tr|A0A3D9SPQ3|A0A3D9SPQ3_9ACTN	A0A3D9SPQ3_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Thermomonospora umbrina	Thermomonospora	291	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Thermomonospora (genus)	Bacteria
A0A3D9SRH8	tr|A0A3D9SRH8|A0A3D9SRH8_9ACTN	A0A3D9SRH8_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Thermomonospora umbrina	Thermomonospora	279	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Thermomonospora (genus)	Bacteria
A0A3D9SRX0	tr|A0A3D9SRX0|A0A3D9SRX0_9ACTN	A0A3D9SRX0_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Thermomonospora umbrina	Thermomonospora	291	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Thermomonospora (genus)	Bacteria
A0A3D9SUD5	tr|A0A3D9SUD5|A0A3D9SUD5_9ACTN	A0A3D9SUD5_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Thermomonospora umbrina	Thermomonospora	294	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Thermomonospora (genus)	Bacteria
A0A3D9SUJ1	tr|A0A3D9SUJ1|A0A3D9SUJ1_9ACTN	A0A3D9SUJ1_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Thermomonospora umbrina	Thermomonospora	290	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Thermomonospora (genus)	Bacteria
A0A3D9SVD4	tr|A0A3D9SVD4|A0A3D9SVD4_9ACTN	A0A3D9SVD4_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Thermomonospora umbrina	Thermomonospora	299	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Thermomonospora (genus)	Bacteria
A0A3E0WQW9	tr|A0A3E0WQW9|A0A3E0WQW9_9GAMM	A0A3E0WQW9_9GAMM	PET hydrolase/cutinase-like domain-containing protein	Alkalilimnicola ehrlichii	Alkalilimnicola	283	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Chromatiales (order), Ectothiorhodospiraceae (family), Alkalilimnicola (genus)	Bacteria
A0A3E0WVG8	tr|A0A3E0WVG8|A0A3E0WVG8_9GAMM	A0A3E0WVG8_9GAMM	PET hydrolase/cutinase-like domain-containing protein	Alkalilimnicola ehrlichii	Alkalilimnicola	311	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Chromatiales (order), Ectothiorhodospiraceae (family), Alkalilimnicola (genus)	Bacteria
A0A3E0WVY1	tr|A0A3E0WVY1|A0A3E0WVY1_9GAMM	A0A3E0WVY1_9GAMM	PET hydrolase/cutinase-like domain-containing protein	Alkalilimnicola ehrlichii	Alkalilimnicola	305	unreviewed	petase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Chromatiales (order), Ectothiorhodospiraceae (family), Alkalilimnicola (genus)	Bacteria
A0A3G9J2N1	tr|A0A3G9J2N1|A0A3G9J2N1_9BACL	A0A3G9J2N1_9BACL	PET hydrolase/cutinase-like domain-containing protein	Paenibacillus baekrokdamisoli	Paenibacillus	308	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Paenibacillaceae (family), Paenibacillus (genus)	Bacteria
A0A3N0E3M2	tr|A0A3N0E3M2|A0A3N0E3M2_9ACTN	A0A3N0E3M2_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Halostreptopolyspora alba	Halostreptopolyspora	282	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Halostreptopolyspora (genus)	Bacteria
A0A3N0EHU6	tr|A0A3N0EHU6|A0A3N0EHU6_9ACTN	A0A3N0EHU6_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Halostreptopolyspora alba	Halostreptopolyspora	311	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Halostreptopolyspora (genus)	Bacteria
A0A3N1CRP0	tr|A0A3N1CRP0|A0A3N1CRP0_9ACTN	A0A3N1CRP0_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinocorallia herbida	Actinocorallia	288	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinocorallia (genus)	Bacteria
A0A3N1D5H5	tr|A0A3N1D5H5|A0A3N1D5H5_9ACTN	A0A3N1D5H5_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Actinocorallia herbida	Actinocorallia	278	unreviewed	ec_petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinocorallia (genus)	Bacteria
A0A3N1D7Y0	tr|A0A3N1D7Y0|A0A3N1D7Y0_9ACTN	A0A3N1D7Y0_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinocorallia herbida	Actinocorallia	292	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinocorallia (genus)	Bacteria
A0A3N1DC31	tr|A0A3N1DC31|A0A3N1DC31_9ACTN	A0A3N1DC31_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Actinocorallia herbida	Actinocorallia	305	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinocorallia (genus)	Bacteria
A0A3R9DT78	tr|A0A3R9DT78|A0A3R9DT78_9PSEU	A0A3R9DT78_9PSEU	PET hydrolase/cutinase-like domain-containing protein	Amycolatopsis eburnea	Amycolatopsis	310	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Pseudonocardiales (order), Pseudonocardiaceae (family), Amycolatopsis (genus)	Bacteria
A0A3T1D9P2	tr|A0A3T1D9P2|A0A3T1D9P2_9BACL	A0A3T1D9P2_9BACL	PET hydrolase/cutinase-like domain-containing protein	Cohnella abietis	Cohnella	309	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Paenibacillaceae (family), Cohnella (genus)	Bacteria
A0A410DYU7	tr|A0A410DYU7|A0A410DYU7_9CLOT	A0A410DYU7_9CLOT	PET hydrolase/cutinase-like domain-containing protein	Clostridium manihotivorum	Clostridium	304	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Clostridia (class), Eubacteriales (order), Clostridiaceae (family), Clostridium (genus)	Bacteria
A0A4Q7J964	tr|A0A4Q7J964|A0A4Q7J964_9PSEU	A0A4Q7J964_9PSEU	PET hydrolase/cutinase-like domain-containing protein	Amycolatopsis suaedae	Amycolatopsis	303	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Pseudonocardiales (order), Pseudonocardiaceae (family), Amycolatopsis (genus)	Bacteria
A0A4Q7KNA4	tr|A0A4Q7KNA4|A0A4Q7KNA4_9PSEU	A0A4Q7KNA4_9PSEU	PET hydrolase/cutinase-like domain-containing protein	Herbihabitans rhizosphaerae	Herbihabitans	283	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Pseudonocardiales (order), Pseudonocardiaceae (family), Herbihabitans (genus)	Bacteria
A0A4R2GNM0	tr|A0A4R2GNM0|A0A4R2GNM0_9BACT	A0A4R2GNM0_9BACT	PET hydrolase/cutinase-like domain-containing protein	Natronoflexus pectinivorans	Natronoflexus	305	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Bacteroidia (class), Marinilabiliales (order), Marinilabiliaceae (family), Natronoflexus (genus)	Bacteria
A0A4R4NB20	tr|A0A4R4NB20|A0A4R4NB20_9ACTN	A0A4R4NB20_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura bangladeshensis	Actinomadura	340	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0A4R4W6Q2	tr|A0A4R4W6Q2|A0A4R4W6Q2_9ACTN	A0A4R4W6Q2_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nonomuraea diastatica	Nonomuraea	312	unreviewed	ec_cutinase,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0A4R4ZDD0	tr|A0A4R4ZDD0|A0A4R4ZDD0_9ACTN	A0A4R4ZDD0_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nonomuraea terrae	Nonomuraea	283	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0A4R5ARP1	tr|A0A4R5ARP1|A0A4R5ARP1_9ACTN	A0A4R5ARP1_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura darangshiensis	Actinomadura	303	unreviewed	actinomadura,ec_cutinase,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0A4R5FXI3	tr|A0A4R5FXI3|A0A4R5FXI3_9ACTN	A0A4R5FXI3_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nonomuraea mesophila	Nonomuraea	295	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0A4R6P139	tr|A0A4R6P139|A0A4R6P139_NOCIG	A0A4R6P139_NOCIG	PET hydrolase/cutinase-like domain-containing protein	Nocardia ignorata	Nocardia	272	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Nocardiaceae (family), Nocardia (genus)	Bacteria
A0A4R6UW92	tr|A0A4R6UW92|A0A4R6UW92_9ACTN	A0A4R6UW92_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinorugispora endophytica	Actinorugispora	312	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Actinorugispora (genus)	Bacteria
A0A4R6V0N6	tr|A0A4R6V0N6|A0A4R6V0N6_9ACTN	A0A4R6V0N6_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Actinorugispora endophytica	Actinorugispora	271	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Actinorugispora (genus)	Bacteria
A0A4T1ZYH6	tr|A0A4T1ZYH6|A0A4T1ZYH6_9PSED	A0A4T1ZYH6_9PSED	PET hydrolase/cutinase-like domain-containing protein	Pseudomonas leptonychotis	Pseudomonas	286	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Pseudomonadales (order), Pseudomonadaceae (family), Pseudomonas (genus)	Bacteria
A0A4U3MI12	tr|A0A4U3MI12|A0A4U3MI12_9ACTN	A0A4U3MI12_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Herbidospora galbida	Herbidospora	284	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Herbidospora (genus)	Bacteria
A0A4V0ZKB9	tr|A0A4V0ZKB9|A0A4V0ZKB9_9ACTN	A0A4V0ZKB9_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Streptomonospora litoralis	Streptomonospora	315	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Streptomonospora (genus)	Bacteria
A0A4V2XJ75	tr|A0A4V2XJ75|A0A4V2XJ75_9ACTN	A0A4V2XJ75_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Nonomuraea longispora	Nonomuraea	275	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0A4V2YA86	tr|A0A4V2YA86|A0A4V2YA86_9ACTN	A0A4V2YA86_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Nonomuraea deserti	Nonomuraea	275	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0A4V2YB24	tr|A0A4V2YB24|A0A4V2YB24_9ACTN	A0A4V2YB24_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nonomuraea deserti	Nonomuraea	284	unreviewed	ec_cutinase,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0A4Y3RDQ0	tr|A0A4Y3RDQ0|A0A4Y3RDQ0_9ACTN	A0A4Y3RDQ0_9ACTN	PET hydrolase/cutinase-like domain-containing protein	Streptomyces gardneri	Streptomyces	288	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Kitasatosporales (order), Streptomycetaceae (family), Streptomyces (genus)	Bacteria
A0A512C2P5	tr|A0A512C2P5|A0A512C2P5_9HYPH	A0A512C2P5_9HYPH	PET hydrolase/cutinase-like domain-containing protein	Microvirga aerophila	Microvirga	350	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Methylobacteriaceae (family), Microvirga (genus)	Bacteria
A0A542DLD4	tr|A0A542DLD4|A0A542DLD4_AMYCI	A0A542DLD4_AMYCI	PET hydrolase/cutinase-like domain-containing protein	Amycolatopsis cihanbeyliensis	Amycolatopsis	280	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Pseudonocardiales (order), Pseudonocardiaceae (family), Amycolatopsis (genus)	Bacteria
A0A543FN38	tr|A0A543FN38|A0A543FN38_9PSEU	A0A543FN38_9PSEU	PET hydrolase/cutinase-like domain-containing protein	Pseudonocardia cypriaca	Pseudonocardia	294	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Pseudonocardiales (order), Pseudonocardiaceae (family), Pseudonocardia (genus)	Bacteria
A0A543IKT7	tr|A0A543IKT7|A0A543IKT7_9ACTN	A0A543IKT7_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura hallensis	Actinomadura	290	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0A543NNU7	tr|A0A543NNU7|A0A543NNU7_9ACTN	A0A543NNU7_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Haloactinospora alba	Haloactinospora	299	unreviewed	ec_cutinase,ec_petase,pet_hydrolase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Haloactinospora (genus)	Bacteria
A0A556QNH3	tr|A0A556QNH3|A0A556QNH3_9BACT	A0A556QNH3_9BACT	PET hydrolase/cutinase-like domain-containing protein	Rariglobus hedericola	Rariglobus	318	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), PVC group (clade), Verrucomicrobiota (phylum), Opitutia (class), Opitutales (order), Opitutaceae (family), Rariglobus (genus)	Bacteria
A0A5C4J1R7	tr|A0A5C4J1R7|A0A5C4J1R7_9ACTN	A0A5C4J1R7_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura soli	Actinomadura	310	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0A5C4VLV1	tr|A0A5C4VLV1|A0A5C4VLV1_9ACTN	A0A5C4VLV1_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nonomuraea phyllanthi	Nonomuraea	310	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0A5C4WSK7	tr|A0A5C4WSK7|A0A5C4WSK7_9ACTN	A0A5C4WSK7_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Nonomuraea phyllanthi	Nonomuraea	296	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0A5C8ZP14	tr|A0A5C8ZP14|A0A5C8ZP14_9GAMM	A0A5C8ZP14_9GAMM	PET hydrolase/cutinase-like domain-containing protein	Parahaliea maris	Parahaliea	320	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Cellvibrionales (order), Halieaceae (family), Parahaliea (genus)	Bacteria
A0A5M3W626	tr|A0A5M3W626|A0A5M3W626_9ACTN	A0A5M3W626_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Acrocarpospora corrugata	Acrocarpospora	292	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Acrocarpospora (genus)	Bacteria
A0A5N6B6N8	tr|A0A5N6B6N8|A0A5N6B6N8_9ACTN	A0A5N6B6N8_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Microbispora catharanthi	Microbispora	306	unreviewed	ec_petase,microbispora,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Microbispora (genus)	Bacteria
A0A5Q0HE30	tr|A0A5Q0HE30|A0A5Q0HE30_SACSY	A0A5Q0HE30_SACSY	Alpha/beta hydrolase	Saccharothrix syringae (Nocardiopsis syringae)	Saccharothrix	273	unreviewed	nocardiopsis	Other	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Pseudonocardiales (order), Pseudonocardiaceae (family), Saccharothrix (genus)	Bacteria
A0A5Q6S2Z8	tr|A0A5Q6S2Z8|A0A5Q6S2Z8_9ACTN	A0A5Q6S2Z8_9ACTN	PET hydrolase/cutinase-like domain-containing protein	Mumia zhuanghuii	Mumia	310	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Propionibacteriales (order), Nocardioidaceae (family), Mumia (genus)	Bacteria
A0A5S4FJI0	tr|A0A5S4FJI0|A0A5S4FJI0_9ACTN	A0A5S4FJI0_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nonomuraea zeae	Nonomuraea	313	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0A5S4G823	tr|A0A5S4G823|A0A5S4G823_9ACTN	A0A5S4G823_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Nonomuraea zeae	Nonomuraea	275	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
