tree_id	clade_id	accession	genus	organism	reference_label
tr|A0ABW2CTX2|A0ABW2CTX2_9ACTN	clade_05	A0ABW2CTX2	Actinomadura	Actinomadura yumaensis	NA
tr|A0ABW2Y2H3|A0ABW2Y2H3_9ACTN	clade_05	A0ABW2Y2H3	Actinomadura	Actinomadura fibrosa	NA
tr|A0A4R6P139|A0A4R6P139_NOCIG	clade_05	A0A4R6P139	Nocardia	Nocardia ignorata	NA
tr|A0ABQ6YHT9|A0ABQ6YHT9_9NOCA	clade_05	A0ABQ6YHT9	Nocardia	Nocardia caishijiensis	NA
tr|A0ABN3VI24|A0ABN3VI24_9PSEU	clade_05	A0ABN3VI24	Saccharopolyspora	Saccharopolyspora taberi	NA
tr|A0ABP5DB21|A0ABP5DB21_9PSEU	clade_05	A0ABP5DB21	Amycolatopsis	Amycolatopsis minnesotensis	NA
tr|A0ABT2D2X6|A0ABT2D2X6_9BURK	clade_06	A0ABT2D2X6	Massilia	Massilia terrae	NA
tr|A0A328ACF0|A0A328ACF0_9CAUL	clade_06	A0A328ACF0	Phenylobacterium	Phenylobacterium deserti	NA
tr|A0A5C8ZP14|A0A5C8ZP14_9GAMM	clade_06	A0A5C8ZP14	Parahaliea	Parahaliea maris	NA
tr|A0A7X1F731|A0A7X1F731_9SPHN	clade_06	A0A7X1F731	Novosphingobium	Novosphingobium aerophilum	NA
tr|A0ABU8S5Q1|A0ABU8S5Q1_9SPHN	clade_06	A0ABU8S5Q1	Novosphingobium	Novosphingobium aquae	NA
tr|A0A7X1KQJ9|A0A7X1KQJ9_9SPHN	clade_06	A0A7X1KQJ9	Novosphingobium	Novosphingobium piscinae	NA
tr|A0A6G7YM33|A0A6G7YM33_9SPHN	clade_06	A0A6G7YM33	Sphingomonas	Sphingomonas piscis	NA
tr|A0A1M6K991|A0A1M6K991_9BACT	clade_06	A0A1M6K991	Tangfeifania	Tangfeifania diversioriginum	NA
tr|A0A9J6ZNH3|A0A9J6ZNH3_9BACT	clade_06	A0A9J6ZNH3	Xiashengella	Xiashengella succiniciproducens	NA
tr|A0A4R2GNM0|A0A4R2GNM0_9BACT	clade_06	A0A4R2GNM0	Natronoflexus	Natronoflexus pectinivorans	NA
tr|A0A1M4ZEU0|A0A1M4ZEU0_9BACT	clade_06	A0A1M4ZEU0	Cnuella	Cnuella takakiae	NA
tr|A0A286GRC4|A0A286GRC4_9BACT	clade_06	A0A286GRC4	Spirosoma	Spirosoma fluviale	NA
tr|A0A2T0UB20|A0A2T0UB20_9SPHI	clade_06	A0A2T0UB20	Arcticibacter	Arcticibacter pallidicorallinus	NA
tr|A0A917J6Z5|A0A917J6Z5_9SPHI	clade_06	A0A917J6Z5	Mucilaginibacter	Mucilaginibacter galii	NA
tr|A0ABZ0W4G4|A0ABZ0W4G4_9BACT	clade_06	A0ABZ0W4G4	Niabella	Niabella yanshanensis	NA
tr|E4T1B9|E4T1B9_PALPW	clade_06	E4T1B9	Paludibacter	Paludibacter propionicigenes (strain DSM 17365 / JCM 13257 / WB4)	NA
tr|A0A0D8JF23|A0A0D8JF23_9BACT	clade_06	A0A0D8JF23	Draconibacterium	Draconibacterium sediminis	NA
tr|X5DX37|X5DX37_9BACT	clade_06	X5DX37	Draconibacterium	Draconibacterium orientale	NA
tr|C6VZJ3|C6VZJ3_DYAFD	clade_06	C6VZJ3	Dyadobacter	Dyadobacter fermentans (strain ATCC 700827 / DSM 18053 / CIP 107007 / KCTC 52180 / NS114)	NA
tr|A0ABQ3B214|A0ABQ3B214_9GAMM	clade_06	A0ABQ3B214	Cellvibrio	Cellvibrio zantedeschiae	NA
tr|A0A1G4TQ35|A0A1G4TQ35_9CAUL	clade_06	A0A1G4TQ35	Asticcacaulis	Asticcacaulis taihuensis	NA
tr|A0ABS2D9K8|A0ABS2D9K8_9SPHN	clade_06	A0ABS2D9K8	Sphingomonas	Sphingomonas longa	NA
tr|A0ABN1N6L8|A0ABN1N6L8_9PSEU	clade_06	A0ABN1N6L8	Pseudonocardia	Pseudonocardia zijingensis	NA
tr|A0A840NXT3|A0A840NXT3_9ACTN	clade_06	A0A840NXT3	Thermocatellispora	Thermocatellispora tengchongensis	NA
tr|A0A5C4WSK7|A0A5C4WSK7_9ACTN	clade_06	A0A5C4WSK7	Nonomuraea	Nonomuraea phyllanthi	NA
tr|A0ABV5P1V8|A0ABV5P1V8_9ACTN	clade_06	A0ABV5P1V8	Nonomuraea	Nonomuraea salmonea	NA
tr|A0A5N6B6N8|A0A5N6B6N8_9ACTN	clade_06	A0A5N6B6N8	Microbispora	Microbispora catharanthi	NA
tr|A0ABV3HHB8|A0ABV3HHB8_9ACTN	clade_06	A0ABV3HHB8	Nonomuraea	Nonomuraea bangladeshensis	NA
tr|A0A8H9LKD0|A0A8H9LKD0_9ACTN	clade_06	A0A8H9LKD0	Microbispora	Microbispora bryophytorum	NA
tr|A0ABR8LI65|A0ABR8LI65_9ACTN	clade_06	A0ABR8LI65	Microbispora	Microbispora bryophytorum subsp. camponoti	NA
tr|A0ABV0AYA2|A0ABV0AYA2_9ACTN	clade_06	A0ABV0AYA2	Microbispora	Microbispora maris	NA
tr|A0A1N7HIK6|A0A1N7HIK6_9ACTN	clade_06	A0A1N7HIK6	Microbispora	Microbispora rosea	NA
tr|A0ABZ1STP3|A0ABZ1STP3_9ACTN	clade_06	A0ABZ1STP3	Microbispora	Microbispora hainanensis	NA
tr|A0A1U9ZTE6|A0A1U9ZTE6_9ACTN	clade_06	A0A1U9ZTE6	[Actinomadura]	[Actinomadura] parvosata subsp. kistnae	NA
tr|A0ABX1BJM1|A0ABX1BJM1_9ACTN	clade_06	A0ABX1BJM1	Nonomuraea	Nonomuraea composti	NA
tr|A0ABY9URI4|A0ABY9URI4_9ACTN	clade_06	A0ABY9URI4	Streptomyces	Streptomyces luomodiensis	NA
tr|A0A853BEY4|A0A853BEY4_9PSEU	clade_06	A0A853BEY4	Amycolatopsis	Amycolatopsis endophytica	NA
tr|A0ABP7JH16|A0ABP7JH16_9PSEU	clade_06	A0ABP7JH16	Amycolatopsis	Amycolatopsis tucumanensis	NA
tr|A0ABQ3IUC3|A0ABQ3IUC3_9PSEU	clade_06	A0ABQ3IUC3	Amycolatopsis	Amycolatopsis deserti	NA
tr|A0ABY8XKD1|A0ABY8XKD1_9PSEU	clade_06	A0ABY8XKD1	Amycolatopsis	Amycolatopsis nalaikhensis	NA
tr|A0ABQ3KFS6|A0ABQ3KFS6_9PSEU	clade_06	A0ABQ3KFS6	Amycolatopsis	Amycolatopsis bullii	NA
tr|A0ABV5UGY4|A0ABV5UGY4_9PSEU	clade_06	A0ABV5UGY4	Amycolatopsis	Amycolatopsis plumensis	NA
tr|A0A066TML8|A0A066TML8_9PSEU	clade_06	A0A066TML8	Amycolatopsis	Amycolatopsis rifamycinica	NA
tr|A0A1H5RL57|A0A1H5RL57_9PSEU	clade_06	A0A1H5RL57	Amycolatopsis	Amycolatopsis pretoriensis	NA
tr|A0A3R9DT78|A0A3R9DT78_9PSEU	clade_06	A0A3R9DT78	Amycolatopsis	Amycolatopsis eburnea	NA
tr|A0ABU8S4G3|A0ABU8S4G3_9SPHN	clade_06	A0ABU8S4G3	Novosphingobium	Novosphingobium aquae	NA
tr|A0ABQ3YI37|A0ABQ3YI37_9ACTN	clade_06	A0ABQ3YI37	Paractinoplanes	Paractinoplanes deccanensis	NA
tr|A0A327ZLV8|A0A327ZLV8_9ACTN	clade_06	A0A327ZLV8	Actinoplanes	Actinoplanes lutulentus	NA
tr|I0HDL6|I0HDL6_ACTM4	clade_06	I0HDL6	Actinoplanes	Actinoplanes missouriensis (strain ATCC 14538 / DSM 43046 / CBS 188.64 / JCM 3121 / NBRC 102363 / NCIMB 12654 / NRRL B-3342 / UNCC 431)	NA
tr|A0A0A6XB90|A0A0A6XB90_ACTUT	clade_06	A0A0A6XB90	Actinoplanes	Actinoplanes utahensis	NA
tr|A0A7W5FDL4|A0A7W5FDL4_9ACTN	clade_06	A0A7W5FDL4	Actinoplanes	Actinoplanes campanulatus	NA
tr|A0A7W7HPD3|A0A7W7HPD3_9ACTN	clade_06	A0A7W7HPD3	Actinoplanes	Actinoplanes lobatus	NA
tr|A0A2P8I084|A0A2P8I084_SACCR	clade_06	A0A2P8I084	Saccharothrix	Saccharothrix carnea	NA
tr|A0ABU1PVP3|A0ABU1PVP3_9PSEU	clade_06	A0ABU1PVP3	Saccharothrix	Saccharothrix longispora	NA
tr|W7INJ7|W7INJ7_9PSEU	clade_06	W7INJ7	Actinokineospora	Actinokineospora spheciospongiae	NA
tr|A0A7W7QD15|A0A7W7QD15_9PSEU	clade_06	A0A7W7QD15	Actinophytocola	Actinophytocola algeriensis	NA
tr|A0A542DLD4|A0A542DLD4_AMYCI	clade_06	A0A542DLD4	Amycolatopsis	Amycolatopsis cihanbeyliensis	NA
tr|A0A918GHW1|A0A918GHW1_9PSEU	clade_06	A0A918GHW1	Actinokineospora	Actinokineospora fastidiosa	NA
tr|A0A344L5S5|A0A344L5S5_9PSEU	clade_06	A0A344L5S5	Amycolatopsis	Amycolatopsis albispora	NA
tr|A0ABS4PT05|A0ABS4PT05_9PSEU	clade_06	A0ABS4PT05	Amycolatopsis	Amycolatopsis magusensis	NA
tr|A0A365H6K8|A0A365H6K8_9ACTN	clade_06	A0A365H6K8	Actinomadura	Actinomadura craniellae	NA
tr|C7MVV4|C7MVV4_SACVD	clade_06	C7MVV4	Saccharomonospora	Saccharomonospora viridis (strain ATCC 15386 / DSM 43017 / JCM 3036 / CCUG 5913 / NBRC 12207 / NCIMB 9602 / P101) (Thermoactinomyces viridis)	NA
tr|A0A4R6V0N6|A0A4R6V0N6_9ACTN	clade_06	A0A4R6V0N6	Actinorugispora	Actinorugispora endophytica	NA
tr|A0A853BTF5|A0A853BTF5_9ACTN	clade_06	A0A853BTF5	Streptomonospora	Streptomonospora nanhaiensis	NA
tr|A0A9X3P096|A0A9X3P096_9ACTN	clade_06	A0A9X3P096	Streptomonospora	Streptomonospora mangrovi	NA
tr|A0ABP7G4F1|A0ABP7G4F1_9ACTN	clade_06	A0ABP7G4F1	Salinactinospora	Salinactinospora qingdaonensis	NA
tr|A0A399G2E0|A0A399G2E0_9ACTN	clade_06	A0A399G2E0	Thermobifida	Thermobifida halotolerans	NA
tr|A0A147KDL8|A0A147KDL8_THECS	clade_06	A0A147KDL8	Thermobifida	Thermobifida cellulosilytica TB100	NA
tr|A0ABY4L3P7|A0ABY4L3P7_THEAE	clade_06	A0ABY4L3P7	Thermobifida	Thermobifida alba (Thermomonospora alba)	NA
tr|A0A7Z0EUU2|A0A7Z0EUU2_9ACTN	clade_06	A0A7Z0EUU2	Nocardiopsis	Nocardiopsis aegyptia	NA
tr|A0ABR9HFT4|A0ABR9HFT4_9ACTN	clade_06	A0ABR9HFT4	Nocardiopsis	Nocardiopsis terrae	NA
tr|A0ABU7K983|A0ABU7K983_9ACTN	clade_06	A0ABU7K983	Nocardiopsis	Nocardiopsis codii	NA
tr|A0ABV2A015|A0ABV2A015_9ACTN	clade_06	A0ABV2A015	Nocardiopsis	Nocardiopsis tropica	NA
tr|A0ABY6YT52|A0ABY6YT52_9ACTN	clade_06	A0ABY6YT52	Streptomonospora	Streptomonospora nanhaiensis	NA
tr|A0A1V3C1E8|A0A1V3C1E8_9ACTN	clade_06	A0A1V3C1E8	Nocardiopsis	Nocardiopsis sinuspersici	NA
tr|A0A841IQ61|A0A841IQ61_9ACTN	clade_06	A0A841IQ61	Nocardiopsis	Nocardiopsis algeriensis	NA
tr|A0ABX8C9P2|A0ABX8C9P2_9ACTN	clade_06	A0ABX8C9P2	Nocardiopsis	Nocardiopsis akebiae	NA
tr|A0ABU2MB52|A0ABU2MB52_9ACTN	clade_06	A0ABU2MB52	Nocardiopsis	Nocardiopsis lambiniae	NA
tr|A0ABX8BSA1|A0ABX8BSA1_9ACTN	clade_06	A0ABX8BSA1	Nocardiopsis	Nocardiopsis changdeensis	NA
tr|A0A3N0E3M2|A0A3N0E3M2_9ACTN	clade_06	A0A3N0E3M2	Halostreptopolyspora	Halostreptopolyspora alba	NA
tr|A0A7W7RNW4|A0A7W7RNW4_9ACTN	clade_06	A0A7W7RNW4	Lipingzhangella	Lipingzhangella halophila	NA
tr|A0ABU2HBR0|A0ABU2HBR0_9ACTN	clade_06	A0ABU2HBR0	Lipingzhangella	Lipingzhangella rawalii	NA
tr|A0ABP9GSJ2|A0ABP9GSJ2_9ACTN	clade_06	A0ABP9GSJ2	Streptomonospora	Streptomonospora halophila	NA
tr|A0ABV9SNT9|A0ABV9SNT9_9ACTN	clade_06	A0ABV9SNT9	Streptomonospora	Streptomonospora arabica	NA
tr|A0ABW3BH01|A0ABW3BH01_9ACTN	clade_06	A0ABW3BH01	Streptomonospora	Streptomonospora algeriensis	NA
tr|A0A3N1D5H5|A0A3N1D5H5_9ACTN	clade_06	A0A3N1D5H5	Actinocorallia	Actinocorallia herbida	NA
tr|A0A7W9IBT4|A0A7W9IBT4_9ACTN	clade_06	A0A7W9IBT4	Streptosporangium	Streptosporangium becharense	NA
tr|A0ABW1A748|A0ABW1A748_9ACTN	clade_06	A0ABW1A748	Actinomadura	Actinomadura rugatobispora	NA
tr|A0ABW3CKK1|A0ABW3CKK1_9ACTN	clade_06	A0ABW3CKK1	Actinomadura	Actinomadura adrarensis	NA
tr|A0ABR9JTI2|A0ABR9JTI2_9ACTN	clade_06	A0ABR9JTI2	Actinomadura	Actinomadura algeriensis	NA
tr|A0A7W3MTE8|A0A7W3MTE8_9ACTN	clade_06	A0A7W3MTE8	Thermomonospora	Thermomonospora cellulosilytica	NA
tr|A0ABN3D0Q6|A0ABN3D0Q6_9ACTN	clade_06	A0ABN3D0Q6	Nonomuraea	Nonomuraea monospora	NA
tr|A0A7X0U566|A0A7X0U566_9ACTN	clade_06	A0A7X0U566	Nonomuraea	Nonomuraea rubra	NA
tr|A0A9X2K9B4|A0A9X2K9B4_9ACTN	clade_06	A0A9X2K9B4	Nonomuraea	Nonomuraea thailandensis	NA
tr|A0A840P6D1|A0A840P6D1_9ACTN	clade_06	A0A840P6D1	Thermocatellispora	Thermocatellispora tengchongensis	NA
tr|A0A5S4GQ57|A0A5S4GQ57_9ACTN	clade_06	A0A5S4GQ57	Nonomuraea	Nonomuraea zeae	NA
tr|A0A8J3S7U8|A0A8J3S7U8_PLARO	clade_06	A0A8J3S7U8	Planobispora	Planobispora rosea	NA
tr|A0A7W3LQR6|A0A7W3LQR6_ACTKI	clade_07	A0A7W3LQR6	Actinomadura	Actinomadura kijaniata (Actinomadura namibiensis)	NA
tr|A0ABW2Y2K9|A0ABW2Y2K9_9ACTN	clade_08	A0ABW2Y2K9	Actinomadura	Actinomadura fibrosa	NA
tr|A0A939PKG5|A0A939PKG5_9ACTN	clade_09	A0A939PKG5	Actinomadura	Actinomadura barringtoniae	NA
tr|A0ABS7FP06|A0ABS7FP06_9ACTN	clade_10	A0ABS7FP06	Actinomadura	Actinomadura parmotrematis	NA
tr|A0A7Y9EM44|A0A7Y9EM44_9ACTN	clade_11	A0A7Y9EM44	Actinomadura	Actinomadura luteofluorescens	NA
tr|A0A1I5RT09|A0A1I5RT09_9ACTN	clade_12	A0A1I5RT09	Actinomadura	Actinomadura madurae	NA
tr|A0A846ZDK3|A0A846ZDK3_9ACTN	clade_13	A0A846ZDK3	Actinomadura	Actinomadura latina	NA
tr|A0ABV4R3C7|A0ABV4R3C7_9ACTN	clade_14	A0ABV4R3C7	Actinomadura	Actinomadura chokoriensis	NA
tr|A0A238V211|A0A238V211_9ACTN	clade_15	A0A238V211	Actinomadura	Actinomadura mexicana	NA
tr|A0A7Y9GI10|A0A7Y9GI10_9ACTN	clade_16	A0A7Y9GI10	Actinomadura	Actinomadura citrea	NA
tr|A0A7X0L0G3|A0A7X0L0G3_9ACTN	clade_17	A0A7X0L0G3	Actinomadura	Actinomadura coerulea	NA
tr|A0ABV4QBN9|A0ABV4QBN9_9ACTN	clade_18	A0ABV4QBN9	Actinomadura	Actinomadura monticuli	NA
tr|A0A5S4H3R9|A0A5S4H3R9_9ACTN	clade_19	A0A5S4H3R9	Actinomadura	Actinomadura geliboluensis	NA
tr|A0A4R4NB20|A0A4R4NB20_9ACTN	clade_20	A0A4R4NB20	Actinomadura	Actinomadura bangladeshensis	NA
tr|A0A239NYM8|A0A239NYM8_9ACTN	clade_21	A0A239NYM8	Actinomadura	Actinomadura meyerae	NA
tr|A0A3A4B4E3|A0A3A4B4E3_9ACTN	clade_22	A0A3A4B4E3	Bailinhaonella	Bailinhaonella thermotolerans	NA
tr|A0A1I5MC99|A0A1I5MC99_9PSEU	clade_23	A0A1I5MC99	Amycolatopsis	Amycolatopsis arida	NA
tr|H8G8N0|H8G8N0_9PSEU	clade_24	H8G8N0	Saccharomonospora	Saccharomonospora azurea NA-128	NA
tr|A0A543IKT7|A0A543IKT7_9ACTN	clade_25	A0A543IKT7	Actinomadura	Actinomadura hallensis	NA
tr|A0A7W7IIG7|A0A7W7IIG7_9ACTN	clade_26	A0A7W7IIG7	Actinomadura	Actinomadura livida	NA
tr|A0A3D9SUJ1|A0A3D9SUJ1_9ACTN	clade_27	A0A3D9SUJ1	Thermomonospora	Thermomonospora umbrina	NA
tr|A0A3D9SPQ3|A0A3D9SPQ3_9ACTN	clade_28	A0A3D9SPQ3	Thermomonospora	Thermomonospora umbrina	NA
tr|A0A3D9SRX0|A0A3D9SRX0_9ACTN	clade_29	A0A3D9SRX0	Thermomonospora	Thermomonospora umbrina	NA
tr|A0ABP6CMB2|A0ABP6CMB2_9ACTN	clade_30	A0ABP6CMB2	Actinomadura	Actinomadura fulvescens	NA
tr|A0A0N9IER5|A0A0N9IER5_9PSEU	clade_31	A0A0N9IER5	Kibdelosporangium	Kibdelosporangium phytohabitans	NA
tr|A0A3D9SUD5|A0A3D9SUD5_9ACTN	clade_32	A0A3D9SUD5	Thermomonospora	Thermomonospora umbrina	NA
tr|A0A3D9SVD4|A0A3D9SVD4_9ACTN	clade_33	A0A3D9SVD4	Thermomonospora	Thermomonospora umbrina	NA
tr|A0A2P4UD72|A0A2P4UD72_9ACTN	clade_34	A0A2P4UD72	Actinomadura	Actinomadura rubteroloni	NA
tr|A0A6I4WH26|A0A6I4WH26_9ACTN	clade_35	A0A6I4WH26	Actinomadura	Actinomadura rayongensis	NA
tr|A0A2P4UJS9|A0A2P4UJS9_9ACTN	clade_36	A0A2P4UJS9	Actinomadura	Actinomadura rubteroloni	NA
tr|A0A6I4VZW1|A0A6I4VZW1_9ACTN	clade_37	A0A6I4VZW1	Actinomadura	Actinomadura rayongensis	NA
tr|A0A7K0BNG8|A0A7K0BNG8_9ACTN	clade_38	A0A7K0BNG8	Actinomadura	Actinomadura macrotermitis	NA
tr|A0A7K0BYW6|A0A7K0BYW6_9ACTN	clade_39	A0A7K0BYW6	Actinomadura	Actinomadura macrotermitis	NA
tr|A0A1G6Q5G2|A0A1G6Q5G2_9PSEU	clade_40	A0A1G6Q5G2	Actinokineospora	Actinokineospora iranica	NA
tr|A0A1H5T4B9|A0A1H5T4B9_9ACTN	clade_41	A0A1H5T4B9	Thermomonospora	Thermomonospora echinospora	NA
tr|A0A365H0G7|A0A365H0G7_9ACTN	clade_42	A0A365H0G7	Actinomadura	Actinomadura craniellae	NA
tr|A0A3D9SP59|A0A3D9SP59_9ACTN	clade_43	A0A3D9SP59	Thermomonospora	Thermomonospora umbrina	NA
tr|A0ABN3PU34|A0ABN3PU34_9ACTN	clade_44	A0ABN3PU34	Actinomadura	Actinomadura fulvescens	NA
tr|A0ABW2XQE4|A0ABW2XQE4_9ACTN	clade_45	A0ABW2XQE4	Actinomadura	Actinomadura fibrosa	NA
tr|A0A7W3R6L2|A0A7W3R6L2_9ACTN	clade_46	A0A7W3R6L2	Thermomonospora	Thermomonospora cellulosilytica	NA
tr|D1A646|D1A646_THECD	clade_47	D1A646	Thermomonospora	Thermomonospora curvata (strain ATCC 19995 / DSM 43183 / JCM 3096 / KCTC 9072 / NBRC 15933 / NCIMB 10081 / Henssen B9)	NA
tr|A0ABV9U430|A0ABV9U430_9ACTN	clade_48	A0ABV9U430	Actinomadura	Actinomadura gamaensis	NA
tr|A0ABV9U3N1|A0ABV9U3N1_9ACTN	clade_49	A0ABV9U3N1	Actinomadura	Actinomadura gamaensis	NA
tr|A0ABS3RHW4|A0ABS3RHW4_9ACTN	clade_50	A0ABS3RHW4	Actinomadura	Actinomadura violacea	NA
tr|A0A2P4UDC3|A0A2P4UDC3_9ACTN	clade_51	A0A2P4UDC3	Actinomadura	Actinomadura rubteroloni	NA
tr|A0A6I4W9J4|A0A6I4W9J4_9ACTN	clade_52	A0A6I4W9J4	Actinomadura	Actinomadura rayongensis	NA
tr|A0ABP6BRL7|A0ABP6BRL7_9ACTN	clade_53	A0ABP6BRL7	Actinomadura	Actinomadura fulvescens	NA
tr|A0ABV9U3U3|A0ABV9U3U3_9ACTN	clade_54	A0ABV9U3U3	Actinomadura	Actinomadura gamaensis	NA
tr|A0A3D9SRH8|A0A3D9SRH8_9ACTN	clade_55	A0A3D9SRH8	Thermomonospora	Thermomonospora umbrina	NA
tr|A0A2P4UDP6|A0A2P4UDP6_9ACTN	clade_56	A0A2P4UDP6	Actinomadura	Actinomadura rubteroloni	NA
tr|A0ABN3QL32|A0ABN3QL32_9ACTN	clade_57	A0ABN3QL32	Actinomadura	Actinomadura fulvescens	NA
tr|A0A365H682|A0A365H682_9ACTN	clade_58	A0A365H682	Actinomadura	Actinomadura craniellae	NA
tr|A0A6H9YZG5|A0A6H9YZG5_9ACTN	clade_59	A0A6H9YZG5	Actinomadura	Actinomadura rudentiformis	NA
tr|A0ABP7VCC9|A0ABP7VCC9_9ACTN	clade_60	A0ABP7VCC9	Actinomadura	Actinomadura miaoliensis	NA
tr|A0ABN3KHS9|A0ABN3KHS9_9ACTN	clade_61	A0ABN3KHS9	Actinomadura	Actinomadura vinacea	NA
tr|A0ABW1ACU7|A0ABW1ACU7_9ACTN	clade_62	A0ABW1ACU7	Actinomadura	Actinomadura rugatobispora	NA
tr|A0A7K0C0L9|A0A7K0C0L9_9ACTN	clade_63	A0A7K0C0L9	Actinomadura	Actinomadura macrotermitis	NA
tr|A0A939TAR4|A0A939TAR4_9ACTN	clade_64	A0A939TAR4	Actinomadura	Actinomadura barringtoniae	NA
tr|A0A5C4J1R7|A0A5C4J1R7_9ACTN	clade_65	A0A5C4J1R7	Actinomadura	Actinomadura soli	NA
tr|A0ABP5M1Z3|A0ABP5M1Z3_9ACTN	clade_66	A0ABP5M1Z3	Actinomadura	Actinomadura napierensis	NA
tr|A0A6L3W3E9|A0A6L3W3E9_9ACTN	clade_67	A0A6L3W3E9	Actinomadura	Actinomadura montaniterrae	NA
tr|A0ABS3RDC0|A0ABS3RDC0_9ACTN	clade_68	A0ABS3RDC0	Actinomadura	Actinomadura nitritigenes	NA
tr|A0A6I4MG66|A0A6I4MG66_9ACTN	clade_69	A0A6I4MG66	Actinomadura	Actinomadura physcomitrii	NA
tr|A0A7D3VX47|A0A7D3VX47_ACTVE	clade_70	A0A7D3VX47	Actinomadura	Actinomadura verrucosospora	NA
tr|A0ABS3RIL7|A0ABS3RIL7_9ACTN	clade_71	A0ABS3RIL7	Actinomadura	Actinomadura violacea	NA
tr|A0A7K1L1I6|A0A7K1L1I6_9ACTN	clade_72	A0A7K1L1I6	Actinomadura	Actinomadura litoris	NA
tr|A0A239F952|A0A239F952_9ACTN	clade_73	A0A239F952	Actinomadura	Actinomadura meyerae	NA
tr|A0A4R5ARP1|A0A4R5ARP1_9ACTN	clade_74	A0A4R5ARP1	Actinomadura	Actinomadura darangshiensis	NA
tr|A0A1I5FBR0|A0A1I5FBR0_9ACTN	clade_75	A0A1I5FBR0	Actinomadura	Actinomadura madurae	NA
tr|A0A7Y9KFU4|A0A7Y9KFU4_9ACTN	clade_76	A0A7Y9KFU4	Actinomadura	Actinomadura citrea	NA
tr|A0ABR9JQE4|A0ABR9JQE4_9ACTN	clade_77	A0ABR9JQE4	Actinomadura	Actinomadura algeriensis	NA
tr|A0ABW3EGR7|A0ABW3EGR7_9ACTN	clade_78	A0ABW3EGR7	Actinomadura	Actinomadura sediminis	NA
tr|A0ABR9JQE6|A0ABR9JQE6_9ACTN	clade_79	A0ABR9JQE6	Actinomadura	Actinomadura algeriensis	NA
tr|A0ABW3EHY5|A0ABW3EHY5_9ACTN	clade_80	A0ABW3EHY5	Actinomadura	Actinomadura sediminis	NA
tr|A0ABW2CZA0|A0ABW2CZA0_9ACTN	clade_81	A0ABW2CZA0	Actinomadura	Actinomadura yumaensis	NA
tr|A0A365GXM3|A0A365GXM3_9ACTN	clade_82	A0A365GXM3	Actinomadura	Actinomadura craniellae	NA
tr|A0ABP6Q9G7|A0ABP6Q9G7_9ACTN	clade_83	A0ABP6Q9G7	Actinocorallia	Actinocorallia longicatena	NA
tr|A0ABN3PZQ6|A0ABN3PZQ6_9ACTN	clade_84	A0ABN3PZQ6	Actinomadura	Actinomadura fulvescens	NA
tr|A0ABP6PWL3|A0ABP6PWL3_9ACTN	clade_85	A0ABP6PWL3	Actinocorallia	Actinocorallia longicatena	NA
tr|A0ABP6QLT6|A0ABP6QLT6_9ACTN	clade_86	A0ABP6QLT6	Actinocorallia	Actinocorallia longicatena	NA
tr|A0A3N1CRP0|A0A3N1CRP0_9ACTN	clade_87	A0A3N1CRP0	Actinocorallia	Actinocorallia herbida	NA
tr|A0ABP6QD18|A0ABP6QD18_9ACTN	clade_88	A0ABP6QD18	Actinocorallia	Actinocorallia longicatena	NA
tr|A0A1H6EZ24|A0A1H6EZ24_9ACTN	clade_89	A0A1H6EZ24	Nonomuraea	Nonomuraea solani	NA
tr|A0ABW1CC56|A0ABW1CC56_9ACTN	clade_90	A0ABW1CC56	Nonomuraea	Nonomuraea insulae	NA
tr|A0A7W9GDV7|A0A7W9GDV7_9ACTN	clade_91	A0A7W9GDV7	Nonomuraea	Nonomuraea jabiensis	NA
tr|A0ABT4UC71|A0ABT4UC71_9ACTN	clade_92	A0ABT4UC71	Nocardiopsis	Nocardiopsis endophytica	NA
tr|A0ABN0WL22|A0ABN0WL22_9ACTN	clade_93	A0ABN0WL22	Actinoallomurus	Actinoallomurus spadix	NA
tr|A0ABQ3KU58|A0ABQ3KU58_9PSEU	clade_94	A0ABQ3KU58	Amycolatopsis	Amycolatopsis bullii	NA
tr|A0A2P4UDA7|A0A2P4UDA7_9ACTN	clade_95	A0A2P4UDA7	Actinomadura	Actinomadura rubteroloni	NA
tr|A0A2P4UNN9|A0A2P4UNN9_9ACTN	clade_96	A0A2P4UNN9	Actinomadura	Actinomadura rubteroloni	NA
tr|A0A6I4W489|A0A6I4W489_9ACTN	clade_97	A0A6I4W489	Actinomadura	Actinomadura rayongensis	NA
tr|A0ABY5PK17|A0ABY5PK17_9ACTN	clade_98	A0ABY5PK17	Svornostia	Svornostia abyssi	NA
tr|A0A0S2KB11|A0A0S2KB11_9GAMM	clade_99	A0A0S2KB11	Pseudohongiella	Pseudohongiella spirulinae	NA
tr|A0A410DYU7|A0A410DYU7_9CLOT	clade_100	A0A410DYU7	Clostridium	Clostridium manihotivorum	NA
tr|A0AAV3U1W9|A0AAV3U1W9_9ALTE	clade_101	A0AAV3U1W9	Halioxenophilus	Halioxenophilus aromaticivorans	NA
tr|A0A6P1THF7|A0A6P1THF7_9GAMM	clade_102	A0A6P1THF7	Microbulbifer	Microbulbifer hydrolyticus	NA
tr|A0ABY2UDA5|A0ABY2UDA5_9GAMM	clade_103	A0ABY2UDA5	Microbulbifer	Microbulbifer harenosus	NA
