Entry	Entry Name	Organism	Organism (ID)	Taxonomic lineage	Taxonomic lineage (Ids)	Length	Reviewed
A0A4U0TZC6	A0A4U0TZC6_9PEZI	Salinomyces thailandicus	706561	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), dothideomyceta (clade), Dothideomycetes (class), Dothideomycetidae (subclass), Mycosphaerellales (order), Teratosphaeriaceae (family), Salinomyces (genus)	131567 (no rank), 2759 (domain), 33154 (clade), 4751 (kingdom), 451864 (subkingdom), 4890 (phylum), 716545 (clade), 147538 (subphylum), 716546 (clade), 715962 (clade), 147541 (class), 451867 (subclass), 2726947 (order), 668547 (family), 2905158 (genus)	268	unreviewed
A0A365HAJ8	A0A365HAJ8_9ACTN	Actinomadura craniellae	2231787	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2012 (family), 1988 (genus)	289	unreviewed
A0A3D8RFV8	A0A3D8RFV8_9HELO	Coleophoma cylindrospora	1849047	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), sordariomyceta (clade), Leotiomycetes (class), Helotiales (order), Dermateaceae (family), Coleophoma (genus)	131567 (no rank), 2759 (domain), 33154 (clade), 4751 (kingdom), 451864 (subkingdom), 4890 (phylum), 716545 (clade), 147538 (subphylum), 716546 (clade), 715989 (clade), 147548 (class), 5178 (order), 76657 (family), 453209 (genus)	332	unreviewed
A0A2W1DFW0	A0A2W1DFW0_9PLEO	Pyrenophora tritici-repentis	45151	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), dothideomyceta (clade), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Pleosporineae (suborder), Pleosporaceae (family), Pyrenophora (genus)	131567 (no rank), 2759 (domain), 33154 (clade), 4751 (kingdom), 451864 (subkingdom), 4890 (phylum), 716545 (clade), 147538 (subphylum), 716546 (clade), 715962 (clade), 147541 (class), 451868 (subclass), 92860 (order), 715340 (suborder), 28556 (family), 5027 (genus)	253	unreviewed
A0A2P5HJM6	A0A2P5HJM6_DIAHE	Diaporthe helianthi	158607	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), sordariomyceta (clade), Sordariomycetes (class), Sordariomycetidae (subclass), Diaporthales (order), Diaporthaceae (family), Diaporthe (genus)	131567 (no rank), 2759 (domain), 33154 (clade), 4751 (kingdom), 451864 (subkingdom), 4890 (phylum), 716545 (clade), 147538 (subphylum), 716546 (clade), 715989 (clade), 147550 (class), 222544 (subclass), 5114 (order), 767018 (family), 36922 (genus)	325	unreviewed
A0A243RI45	A0A243RI45_9ACTN	Streptosporangium minutum	569862	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Streptosporangium (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2004 (family), 2000 (genus)	285	unreviewed
A0A2P4UDC3	A0A2P4UDC3_9ACTN	Actinomadura rubteroloni	1926885	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2012 (family), 1988 (genus)	295	unreviewed
A0A2P4UJS9	A0A2P4UJS9_9ACTN	Actinomadura rubteroloni	1926885	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2012 (family), 1988 (genus)	298	unreviewed
A0A2W2EN64	A0A2W2EN64_9ACTN	Nonomuraea aridisoli	2070368	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2004 (family), 83681 (genus)	296	unreviewed
A0A365GXM3	A0A365GXM3_9ACTN	Actinomadura craniellae	2231787	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2012 (family), 1988 (genus)	292	unreviewed
A0A365H0G7	A0A365H0G7_9ACTN	Actinomadura craniellae	2231787	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2012 (family), 1988 (genus)	292	unreviewed
A0A365H6K8	A0A365H6K8_9ACTN	Actinomadura craniellae	2231787	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2012 (family), 1988 (genus)	280	unreviewed
A0A365H755	A0A365H755_9ACTN	Actinomadura craniellae	2231787	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2012 (family), 1988 (genus)	288	unreviewed
A0A3D9SPQ3	A0A3D9SPQ3_9ACTN	Thermomonospora umbrina	111806	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Thermomonospora (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2012 (family), 2019 (genus)	291	unreviewed
A0A3N0E3M2	A0A3N0E3M2_9ACTN	Halostreptopolyspora alba	2487137	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Halostreptopolyspora (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 83676 (family), 3373668 (genus)	282	unreviewed
A0A3N1CRP0	A0A3N1CRP0_9ACTN	Actinocorallia herbida	58109	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinocorallia (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2012 (family), 58108 (genus)	288	unreviewed
A0A3N1D7Y0	A0A3N1D7Y0_9ACTN	Actinocorallia herbida	58109	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinocorallia (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2012 (family), 58108 (genus)	292	unreviewed
A0A3N1DC31	A0A3N1DC31_9ACTN	Actinocorallia herbida	58109	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinocorallia (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2012 (family), 58108 (genus)	305	unreviewed
A0A4U3MI12	A0A4U3MI12_9ACTN	Herbidospora galbida	2575442	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Herbidospora (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2004 (family), 28443 (genus)	284	unreviewed
A0A4V2YA86	A0A4V2YA86_9ACTN	Nonomuraea deserti	1848322	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2004 (family), 83681 (genus)	275	unreviewed
A0A243RTG5	A0A243RTG5_9ACTN	Streptosporangium minutum	569862	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Streptosporangium (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2004 (family), 2000 (genus)	320	unreviewed
A0A2B7XVR9	A0A2B7XVR9_9EURO	Helicocarpus griseus UAMH5409	1447875	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), Eurotiomycetes (class), Eurotiomycetidae (subclass), Onygenales (order), Ajellomycetaceae (family), Helicocarpus (genus), Helicocarpus griseus (species)	131567 (no rank), 2759 (domain), 33154 (clade), 4751 (kingdom), 451864 (subkingdom), 4890 (phylum), 716545 (clade), 147538 (subphylum), 716546 (clade), 147545 (class), 451871 (subclass), 33183 (order), 299071 (family), 1745324 (genus), 121128 (species)	293	unreviewed
A0A2P4UDP6	A0A2P4UDP6_9ACTN	Actinomadura rubteroloni	1926885	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2012 (family), 1988 (genus)	299	unreviewed
A0A2P5I627	A0A2P5I627_DIAHE	Diaporthe helianthi	158607	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), sordariomyceta (clade), Sordariomycetes (class), Sordariomycetidae (subclass), Diaporthales (order), Diaporthaceae (family), Diaporthe (genus)	131567 (no rank), 2759 (domain), 33154 (clade), 4751 (kingdom), 451864 (subkingdom), 4890 (phylum), 716545 (clade), 147538 (subphylum), 716546 (clade), 715989 (clade), 147550 (class), 222544 (subclass), 5114 (order), 767018 (family), 36922 (genus)	251	unreviewed
A0A2T0MSV4	A0A2T0MSV4_9ACTN	Nonomuraea fuscirosea	1291556	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2004 (family), 83681 (genus)	280	unreviewed
A0A2T2NYK6	A0A2T2NYK6_CORCC	Corynespora cassiicola Philippines	1448308	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), dothideomyceta (clade), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Corynesporascaceae (family), Corynespora (genus), Corynespora cassiicola (species)	131567 (no rank), 2759 (domain), 33154 (clade), 4751 (kingdom), 451864 (subkingdom), 4890 (phylum), 716545 (clade), 147538 (subphylum), 716546 (clade), 715962 (clade), 147541 (class), 451868 (subclass), 92860 (order), 281124 (family), 59585 (genus), 59586 (species)	280	unreviewed
A0A2T2ZRM5	A0A2T2ZRM5_9PEZI	Coniella lustricola	2025994	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), sordariomyceta (clade), Sordariomycetes (class), Sordariomycetidae (subclass), Diaporthales (order), Schizoparmaceae (family), Coniella (genus)	131567 (no rank), 2759 (domain), 33154 (clade), 4751 (kingdom), 451864 (subkingdom), 4890 (phylum), 716545 (clade), 147538 (subphylum), 716546 (clade), 715989 (clade), 147550 (class), 222544 (subclass), 5114 (order), 1535530 (family), 172190 (genus)	277	unreviewed
A0A2V1DU88	A0A2V1DU88_9PLEO	Periconia macrospinosa	97972	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), dothideomyceta (clade), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Massarineae (suborder), Periconiaceae (family), Periconia (genus)	131567 (no rank), 2759 (domain), 33154 (clade), 4751 (kingdom), 451864 (subkingdom), 4890 (phylum), 716545 (clade), 147538 (subphylum), 716546 (clade), 715962 (clade), 147541 (class), 451868 (subclass), 92860 (order), 1255046 (suborder), 1898439 (family), 97971 (genus)	259	unreviewed
A0A2W1CZT8	A0A2W1CZT8_9PLEO	Pyrenophora tritici-repentis	45151	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), dothideomyceta (clade), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Pleosporineae (suborder), Pleosporaceae (family), Pyrenophora (genus)	131567 (no rank), 2759 (domain), 33154 (clade), 4751 (kingdom), 451864 (subkingdom), 4890 (phylum), 716545 (clade), 147538 (subphylum), 716546 (clade), 715962 (clade), 147541 (class), 451868 (subclass), 92860 (order), 715340 (suborder), 28556 (family), 5027 (genus)	251	unreviewed
A0A365H682	A0A365H682_9ACTN	Actinomadura craniellae	2231787	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2012 (family), 1988 (genus)	288	unreviewed
A0A3D8QCA6	A0A3D8QCA6_9HELO	Coleophoma cylindrospora	1849047	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), sordariomyceta (clade), Leotiomycetes (class), Helotiales (order), Dermateaceae (family), Coleophoma (genus)	131567 (no rank), 2759 (domain), 33154 (clade), 4751 (kingdom), 451864 (subkingdom), 4890 (phylum), 716545 (clade), 147538 (subphylum), 716546 (clade), 715989 (clade), 147548 (class), 5178 (order), 76657 (family), 453209 (genus)	258	unreviewed
A0A3D8RDQ0	A0A3D8RDQ0_9HELO	Coleophoma crateriformis	565419	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), sordariomyceta (clade), Leotiomycetes (class), Helotiales (order), Dermateaceae (family), Coleophoma (genus)	131567 (no rank), 2759 (domain), 33154 (clade), 4751 (kingdom), 451864 (subkingdom), 4890 (phylum), 716545 (clade), 147538 (subphylum), 716546 (clade), 715989 (clade), 147548 (class), 5178 (order), 76657 (family), 453209 (genus)	254	unreviewed
A0A3D8S0C2	A0A3D8S0C2_9HELO	Coleophoma cylindrospora	1849047	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), sordariomyceta (clade), Leotiomycetes (class), Helotiales (order), Dermateaceae (family), Coleophoma (genus)	131567 (no rank), 2759 (domain), 33154 (clade), 4751 (kingdom), 451864 (subkingdom), 4890 (phylum), 716545 (clade), 147538 (subphylum), 716546 (clade), 715989 (clade), 147548 (class), 5178 (order), 76657 (family), 453209 (genus)	268	unreviewed
A0A3D8T137	A0A3D8T137_9HELO	Coleophoma crateriformis	565419	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), sordariomyceta (clade), Leotiomycetes (class), Helotiales (order), Dermateaceae (family), Coleophoma (genus)	131567 (no rank), 2759 (domain), 33154 (clade), 4751 (kingdom), 451864 (subkingdom), 4890 (phylum), 716545 (clade), 147538 (subphylum), 716546 (clade), 715989 (clade), 147548 (class), 5178 (order), 76657 (family), 453209 (genus)	268	unreviewed
A0A3D9SNA7	A0A3D9SNA7_9ACTN	Thermomonospora umbrina	111806	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Thermomonospora (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2012 (family), 2019 (genus)	296	unreviewed
A0A3M7MGF2	A0A3M7MGF2_9PLEO	Pyrenophora seminiperda CCB06	1302712	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), dothideomyceta (clade), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Pleosporineae (suborder), Pleosporaceae (family), Pyrenophora (genus), Pyrenophora seminiperda (species)	131567 (no rank), 2759 (domain), 33154 (clade), 4751 (kingdom), 451864 (subkingdom), 4890 (phylum), 716545 (clade), 147538 (subphylum), 716546 (clade), 715962 (clade), 147541 (class), 451868 (subclass), 92860 (order), 715340 (suborder), 28556 (family), 5027 (genus), 91370 (species)	253	unreviewed
A0A3M9YFB5	A0A3M9YFB5_9PEZI	Verticillium nonalfalfae	1051616	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), sordariomyceta (clade), Sordariomycetes (class), Hypocreomycetidae (subclass), Glomerellales (order), Plectosphaerellaceae (family), Verticillium (genus)	131567 (no rank), 2759 (domain), 33154 (clade), 4751 (kingdom), 451864 (subkingdom), 4890 (phylum), 716545 (clade), 147538 (subphylum), 716546 (clade), 715989 (clade), 147550 (class), 222543 (subclass), 1028384 (order), 1033978 (family), 1036719 (genus)	309	unreviewed
A0A3N4HSF9	A0A3N4HSF9_ASCIM	Ascobolus immersus RN42	1160509	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), Pezizomycetes (class), Pezizales (order), Ascobolaceae (family), Ascobolus (genus), Ascobolus immersus (species)	131567 (no rank), 2759 (domain), 33154 (clade), 4751 (kingdom), 451864 (subkingdom), 4890 (phylum), 716545 (clade), 147538 (subphylum), 147549 (class), 5185 (order), 5189 (family), 5190 (genus), 5191 (species)	261	unreviewed
A0A4R4W6Q2	A0A4R4W6Q2_9ACTN	Nonomuraea diastatica	1848329	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2004 (family), 83681 (genus)	312	unreviewed
A0A4R5ARP1	A0A4R5ARP1_9ACTN	Actinomadura darangshiensis	705336	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2012 (family), 1988 (genus)	303	unreviewed
A0A4R6V0N6	A0A4R6V0N6_9ACTN	Actinorugispora endophytica	1605990	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Actinorugispora (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 83676 (family), 1833962 (genus)	271	unreviewed
A0A4V2XJ75	A0A4V2XJ75_9ACTN	Nonomuraea longispora	1848320	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2004 (family), 83681 (genus)	275	unreviewed
A0A2P4UD72	A0A2P4UD72_9ACTN	Actinomadura rubteroloni	1926885	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2012 (family), 1988 (genus)	299	unreviewed
A0A2P4UNN9	A0A2P4UNN9_9ACTN	Actinomadura rubteroloni	1926885	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2012 (family), 1988 (genus)	278	unreviewed
A0A3D9SN04	A0A3D9SN04_9ACTN	Thermomonospora umbrina	111806	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Thermomonospora (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2012 (family), 2019 (genus)	289	unreviewed
A0A3N0EHU6	A0A3N0EHU6_9ACTN	Halostreptopolyspora alba	2487137	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Halostreptopolyspora (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 83676 (family), 3373668 (genus)	311	unreviewed
A0A4R4NB20	A0A4R4NB20_9ACTN	Actinomadura bangladeshensis	453573	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2012 (family), 1988 (genus)	340	unreviewed
A0A4R6UW92	A0A4R6UW92_9ACTN	Actinorugispora endophytica	1605990	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Actinorugispora (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 83676 (family), 1833962 (genus)	312	unreviewed
A0A2C9ZMQ8	A0A2C9ZMQ8_9ACTN	Streptosporangium minutum	569862	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Streptosporangium (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2004 (family), 2000 (genus)	285	unreviewed
A0A2P4UPT6	A0A2P4UPT6_9ACTN	Actinomadura rubteroloni	1926885	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2012 (family), 1988 (genus)	282	unreviewed
A0A2T0PXG2	A0A2T0PXG2_9ACTN	Allonocardiopsis opalescens	1144618	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiales incertae sedis (no rank), Allonocardiopsis (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 147066 (no rank), 1647181 (genus)	305	unreviewed
A0A365H6Y8	A0A365H6Y8_9ACTN	Actinomadura craniellae	2231787	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2012 (family), 1988 (genus)	290	unreviewed
A0A399G2E0	A0A399G2E0_9ACTN	Thermobifida halotolerans	483545	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Thermobifida (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 83676 (family), 83677 (genus)	281	unreviewed
A0A3A4B4E3	A0A3A4B4E3_9ACTN	Bailinhaonella thermotolerans	1070861	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Bailinhaonella (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2004 (family), 2806742 (genus)	305	unreviewed
A0A3D9SRH8	A0A3D9SRH8_9ACTN	Thermomonospora umbrina	111806	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Thermomonospora (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2012 (family), 2019 (genus)	279	unreviewed
A0A3D9SUD5	A0A3D9SUD5_9ACTN	Thermomonospora umbrina	111806	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Thermomonospora (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2012 (family), 2019 (genus)	294	unreviewed
