accession	tree_id	uniprot_id	protein_name	organism	genus	length	reviewed	source_queries	enzyme_class	reference_label
A0A238V211	tr|A0A238V211|A0A238V211_9ACTN	A0A238V211_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura mexicana	Actinomadura	291	unreviewed	actinomadura,ec_cutinase,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A239AX86	tr|A0A239AX86|A0A239AX86_9ACTN	A0A239AX86_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Streptosporangium subroseum	Streptosporangium	325	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A239F952	tr|A0A239F952|A0A239F952_9ACTN	A0A239F952_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura meyerae	Actinomadura	307	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A239NYM8	tr|A0A239NYM8|A0A239NYM8_9ACTN	A0A239NYM8_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura meyerae	Actinomadura	339	unreviewed	actinomadura,ec_cutinase,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A243RG01	tr|A0A243RG01|A0A243RG01_9ACTN	A0A243RG01_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Streptosporangium minutum	Streptosporangium	301	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A243RI45	tr|A0A243RI45|A0A243RI45_9ACTN	A0A243RI45_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Streptosporangium minutum	Streptosporangium	285	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A243RTG5	tr|A0A243RTG5|A0A243RTG5_9ACTN	A0A243RTG5_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Streptosporangium minutum	Streptosporangium	320	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A285JDK9	tr|A0A285JDK9|A0A285JDK9_9ACTN	A0A285JDK9_9ACTN	PET hydrolase/cutinase-like domain-containing protein	Paractinoplanes atraurantiacus	Paractinoplanes	282	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A285L7T1	tr|A0A285L7T1|A0A285L7T1_9NOCA	A0A285L7T1_9NOCA	PET hydrolase/cutinase-like domain-containing protein	Nocardia amikacinitolerans	Nocardia	332	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A286GRC4	tr|A0A286GRC4|A0A286GRC4_9BACT	A0A286GRC4_9BACT	PET hydrolase/cutinase-like domain-containing protein	Spirosoma fluviale	Spirosoma	304	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A2B7XVR9	tr|A0A2B7XVR9|A0A2B7XVR9_9EURO	A0A2B7XVR9_9EURO	Cutinase (EC 3.1.1.74)	Helicocarpus griseus UAMH5409	Helicocarpus	293	unreviewed	ec_cutinase	Cutinase	NA
A0A2C9ZMQ8	tr|A0A2C9ZMQ8|A0A2C9ZMQ8_9ACTN	A0A2C9ZMQ8_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Streptosporangium minutum	Streptosporangium	285	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A2I1PAV8	tr|A0A2I1PAV8|A0A2I1PAV8_9MICO	A0A2I1PAV8_9MICO	PET hydrolase/cutinase-like domain-containing protein	Kytococcus schroeteri	Kytococcus	289	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A2I1PAZ1	tr|A0A2I1PAZ1|A0A2I1PAZ1_9MICO	A0A2I1PAZ1_9MICO	PET hydrolase/cutinase-like domain-containing protein	Kytococcus schroeteri	Kytococcus	287	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A2J8C362	sp|A0A2J8C362|CUTI1_VERDV	CUTI1_VERDV	Cutinase 11 (EC 3.1.1.74) (VdCUT11)	Verticillium dahliae (strain VdLs.17 / ATCC MYA-4575 / FGSC 10137) (Verticillium wilt)	Verticillium	295	reviewed	cutinase,ec_cutinase	Cutinase	NA
A0A2K9LJV9	tr|A0A2K9LJV9|A0A2K9LJV9_9GAMM	A0A2K9LJV9_9GAMM	PET hydrolase/cutinase-like domain-containing protein	Ketobacter alkanivorans	Ketobacter	314	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A2K9LQ63	tr|A0A2K9LQ63|A0A2K9LQ63_9GAMM	A0A2K9LQ63_9GAMM	PET hydrolase/cutinase-like domain-containing protein	Ketobacter alkanivorans	Ketobacter	265	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A2P2FIU7	tr|A0A2P2FIU7|A0A2P2FIU7_AMYLU	A0A2P2FIU7_AMYLU	PET hydrolase/cutinase-like domain-containing protein	Amycolatopsis lurida NRRL 2430	Amycolatopsis	277	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A2P4UD72	tr|A0A2P4UD72|A0A2P4UD72_9ACTN	A0A2P4UD72_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura rubteroloni	Actinomadura	299	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A2P4UDA7	tr|A0A2P4UDA7|A0A2P4UDA7_9ACTN	A0A2P4UDA7_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura rubteroloni	Actinomadura	293	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A2P4UDC3	tr|A0A2P4UDC3|A0A2P4UDC3_9ACTN	A0A2P4UDC3_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura rubteroloni	Actinomadura	295	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A2P4UDP6	tr|A0A2P4UDP6|A0A2P4UDP6_9ACTN	A0A2P4UDP6_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura rubteroloni	Actinomadura	299	unreviewed	actinomadura,ec_cutinase,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A2P4UJS9	tr|A0A2P4UJS9|A0A2P4UJS9_9ACTN	A0A2P4UJS9_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura rubteroloni	Actinomadura	298	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A2P4UNN9	tr|A0A2P4UNN9|A0A2P4UNN9_9ACTN	A0A2P4UNN9_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura rubteroloni	Actinomadura	278	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A2P4UPT6	tr|A0A2P4UPT6|A0A2P4UPT6_9ACTN	A0A2P4UPT6_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Actinomadura rubteroloni	Actinomadura	282	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A2P5HJM6	tr|A0A2P5HJM6|A0A2P5HJM6_DIAHE	A0A2P5HJM6_DIAHE	Cutinase (EC 3.1.1.74)	Diaporthe helianthi	Diaporthe	325	unreviewed	cutinase,ec_cutinase	Cutinase	NA
A0A2P5I627	tr|A0A2P5I627|A0A2P5I627_DIAHE	A0A2P5I627_DIAHE	Cutinase (EC 3.1.1.74)	Diaporthe helianthi	Diaporthe	251	unreviewed	ec_cutinase	Cutinase	NA
A0A2P8I084	tr|A0A2P8I084|A0A2P8I084_SACCR	A0A2P8I084_SACCR	PET hydrolase/cutinase-like domain-containing protein	Saccharothrix carnea	Saccharothrix	279	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A2T0MSV4	tr|A0A2T0MSV4|A0A2T0MSV4_9ACTN	A0A2T0MSV4_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Nonomuraea fuscirosea	Nonomuraea	280	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A2T0PXG2	tr|A0A2T0PXG2|A0A2T0PXG2_9ACTN	A0A2T0PXG2_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Allonocardiopsis opalescens	Allonocardiopsis	305	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A2T0UB20	tr|A0A2T0UB20|A0A2T0UB20_9SPHI	A0A2T0UB20_9SPHI	PET hydrolase/cutinase-like domain-containing protein	Arcticibacter pallidicorallinus	Arcticibacter	305	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A2T2NYK6	tr|A0A2T2NYK6|A0A2T2NYK6_CORCC	A0A2T2NYK6_CORCC	Cutinase (EC 3.1.1.74)	Corynespora cassiicola Philippines	Corynespora	280	unreviewed	ec_cutinase	Cutinase	NA
A0A2T2ZRM5	tr|A0A2T2ZRM5|A0A2T2ZRM5_9PEZI	A0A2T2ZRM5_9PEZI	Cutinase (EC 3.1.1.74)	Coniella lustricola	Coniella	277	unreviewed	ec_cutinase	Cutinase	NA
A0A2T5MD89	tr|A0A2T5MD89|A0A2T5MD89_9GAMM	A0A2T5MD89_9GAMM	PET hydrolase/cutinase-like domain-containing protein	Stenotrophobium rhamnosiphilum	Stenotrophobium	347	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A2T5PA95	tr|A0A2T5PA95|A0A2T5PA95_9PSED	A0A2T5PA95_9PSED	PET hydrolase/cutinase-like domain-containing protein	Pseudomonas mangrovi	Pseudomonas	286	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A2V1DU88	tr|A0A2V1DU88|A0A2V1DU88_9PLEO	A0A2V1DU88_9PLEO	Cutinase (EC 3.1.1.74)	Periconia macrospinosa	Periconia	259	unreviewed	ec_cutinase	Cutinase	NA
A0A2W1CZT8	tr|A0A2W1CZT8|A0A2W1CZT8_9PLEO	A0A2W1CZT8_9PLEO	Cutinase (EC 3.1.1.74)	Pyrenophora tritici-repentis	Pyrenophora	251	unreviewed	ec_cutinase	Cutinase	NA
A0A2W1DFW0	tr|A0A2W1DFW0|A0A2W1DFW0_9PLEO	A0A2W1DFW0_9PLEO	Cutinase (EC 3.1.1.74) (Cutin hydrolase)	Pyrenophora tritici-repentis	Pyrenophora	253	unreviewed	cutinase,ec_cutinase	Cutinase	NA
A0A2W2EN64	tr|A0A2W2EN64|A0A2W2EN64_9ACTN	A0A2W2EN64_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nonomuraea aridisoli	Nonomuraea	296	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A318JYH2	tr|A0A318JYH2|A0A318JYH2_9NOCA	A0A318JYH2_9NOCA	PET hydrolase/cutinase-like domain-containing protein	Nocardia tenerifensis	Nocardia	335	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A327ZLV8	tr|A0A327ZLV8|A0A327ZLV8_9ACTN	A0A327ZLV8_9ACTN	PET hydrolase/cutinase-like domain-containing protein	Actinoplanes lutulentus	Actinoplanes	264	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A328ACF0	tr|A0A328ACF0|A0A328ACF0_9CAUL	A0A328ACF0_9CAUL	PET hydrolase/cutinase-like domain-containing protein	Phenylobacterium deserti	Phenylobacterium	327	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A344L5S5	tr|A0A344L5S5|A0A344L5S5_9PSEU	A0A344L5S5_9PSEU	PET hydrolase/cutinase-like domain-containing protein	Amycolatopsis albispora	Amycolatopsis	277	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A365GXM3	tr|A0A365GXM3|A0A365GXM3_9ACTN	A0A365GXM3_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura craniellae	Actinomadura	292	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A365H0G7	tr|A0A365H0G7|A0A365H0G7_9ACTN	A0A365H0G7_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura craniellae	Actinomadura	292	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A365H682	tr|A0A365H682|A0A365H682_9ACTN	A0A365H682_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura craniellae	Actinomadura	288	unreviewed	actinomadura,ec_cutinase,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A365H6K8	tr|A0A365H6K8|A0A365H6K8_9ACTN	A0A365H6K8_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Actinomadura craniellae	Actinomadura	280	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A365H6Y8	tr|A0A365H6Y8|A0A365H6Y8_9ACTN	A0A365H6Y8_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura craniellae	Actinomadura	290	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A365H755	tr|A0A365H755|A0A365H755_9ACTN	A0A365H755_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura craniellae	Actinomadura	288	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A365HAJ8	tr|A0A365HAJ8|A0A365HAJ8_9ACTN	A0A365HAJ8_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura craniellae	Actinomadura	289	unreviewed	actinomadura,ec_cutinase,ec_petase,pet_hydrolase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A366DS33	tr|A0A366DS33|A0A366DS33_9NOCA	A0A366DS33_9NOCA	PET hydrolase/cutinase-like domain-containing protein	Nocardia puris	Nocardia	330	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A370GT15	tr|A0A370GT15|A0A370GT15_9NOCA	A0A370GT15_9NOCA	PET hydrolase/cutinase-like domain-containing protein	Nocardia mexicana	Nocardia	338	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A370HZD1	tr|A0A370HZD1|A0A370HZD1_9NOCA	A0A370HZD1_9NOCA	PET hydrolase/cutinase-like domain-containing protein	Nocardia pseudobrasiliensis	Nocardia	336	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A370I2K4	tr|A0A370I2K4|A0A370I2K4_9NOCA	A0A370I2K4_9NOCA	PET hydrolase/cutinase-like domain-containing protein	Nocardia pseudobrasiliensis	Nocardia	321	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A370I561	tr|A0A370I561|A0A370I561_9NOCA	A0A370I561_9NOCA	PET hydrolase/cutinase-like domain-containing protein	Nocardia pseudobrasiliensis	Nocardia	336	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A399G2E0	tr|A0A399G2E0|A0A399G2E0_9ACTN	A0A399G2E0_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Thermobifida halotolerans	Thermobifida	281	unreviewed	ec_petase,pet_hydrolase,petase,polyethylene_terephthalate_hydrolase,thermobifida	PET_hydrolase	NA
A0A3A4B4E3	tr|A0A3A4B4E3|A0A3A4B4E3_9ACTN	A0A3A4B4E3_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Bailinhaonella thermotolerans	Bailinhaonella	305	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A3D8QCA6	tr|A0A3D8QCA6|A0A3D8QCA6_9HELO	A0A3D8QCA6_9HELO	Cutinase (EC 3.1.1.74)	Coleophoma cylindrospora	Coleophoma	258	unreviewed	ec_cutinase	Cutinase	NA
A0A3D8RDQ0	tr|A0A3D8RDQ0|A0A3D8RDQ0_9HELO	A0A3D8RDQ0_9HELO	cutinase (EC 3.1.1.74)	Coleophoma crateriformis	Coleophoma	254	unreviewed	ec_cutinase	Cutinase	NA
A0A3D8RFV8	tr|A0A3D8RFV8|A0A3D8RFV8_9HELO	A0A3D8RFV8_9HELO	Cutinase (EC 3.1.1.74)	Coleophoma cylindrospora	Coleophoma	332	unreviewed	cutinase,ec_cutinase	Cutinase	NA
A0A3D8S0C2	tr|A0A3D8S0C2|A0A3D8S0C2_9HELO	A0A3D8S0C2_9HELO	cutinase (EC 3.1.1.74)	Coleophoma cylindrospora	Coleophoma	268	unreviewed	ec_cutinase	Cutinase	NA
A0A3D8T137	tr|A0A3D8T137|A0A3D8T137_9HELO	A0A3D8T137_9HELO	cutinase (EC 3.1.1.74)	Coleophoma crateriformis	Coleophoma	268	unreviewed	ec_cutinase	Cutinase	NA
A0A3D9SLY3	tr|A0A3D9SLY3|A0A3D9SLY3_9ACTN	A0A3D9SLY3_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Thermomonospora umbrina	Thermomonospora	287	unreviewed	ec_petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A3D9SN04	tr|A0A3D9SN04|A0A3D9SN04_9ACTN	A0A3D9SN04_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Thermomonospora umbrina	Thermomonospora	289	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A3D9SNA7	tr|A0A3D9SNA7|A0A3D9SNA7_9ACTN	A0A3D9SNA7_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Thermomonospora umbrina	Thermomonospora	296	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A3D9SP59	tr|A0A3D9SP59|A0A3D9SP59_9ACTN	A0A3D9SP59_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Thermomonospora umbrina	Thermomonospora	280	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A3D9SPQ3	tr|A0A3D9SPQ3|A0A3D9SPQ3_9ACTN	A0A3D9SPQ3_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Thermomonospora umbrina	Thermomonospora	291	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A3D9SRH8	tr|A0A3D9SRH8|A0A3D9SRH8_9ACTN	A0A3D9SRH8_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Thermomonospora umbrina	Thermomonospora	279	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A3D9SRX0	tr|A0A3D9SRX0|A0A3D9SRX0_9ACTN	A0A3D9SRX0_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Thermomonospora umbrina	Thermomonospora	291	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A3D9SUD5	tr|A0A3D9SUD5|A0A3D9SUD5_9ACTN	A0A3D9SUD5_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Thermomonospora umbrina	Thermomonospora	294	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A3D9SUJ1	tr|A0A3D9SUJ1|A0A3D9SUJ1_9ACTN	A0A3D9SUJ1_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Thermomonospora umbrina	Thermomonospora	290	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A3D9SVD4	tr|A0A3D9SVD4|A0A3D9SVD4_9ACTN	A0A3D9SVD4_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Thermomonospora umbrina	Thermomonospora	299	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A3E0WQW9	tr|A0A3E0WQW9|A0A3E0WQW9_9GAMM	A0A3E0WQW9_9GAMM	PET hydrolase/cutinase-like domain-containing protein	Alkalilimnicola ehrlichii	Alkalilimnicola	283	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A3E0WVG8	tr|A0A3E0WVG8|A0A3E0WVG8_9GAMM	A0A3E0WVG8_9GAMM	PET hydrolase/cutinase-like domain-containing protein	Alkalilimnicola ehrlichii	Alkalilimnicola	311	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A3E0WVY1	tr|A0A3E0WVY1|A0A3E0WVY1_9GAMM	A0A3E0WVY1_9GAMM	PET hydrolase/cutinase-like domain-containing protein	Alkalilimnicola ehrlichii	Alkalilimnicola	305	unreviewed	petase	PET_hydrolase	NA
A0A3G9J2N1	tr|A0A3G9J2N1|A0A3G9J2N1_9BACL	A0A3G9J2N1_9BACL	PET hydrolase/cutinase-like domain-containing protein	Paenibacillus baekrokdamisoli	Paenibacillus	308	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A3M7MGF2	tr|A0A3M7MGF2|A0A3M7MGF2_9PLEO	A0A3M7MGF2_9PLEO	Cutinase (EC 3.1.1.74)	Pyrenophora seminiperda CCB06	Pyrenophora	253	unreviewed	ec_cutinase	Cutinase	NA
A0A3M9YFB5	tr|A0A3M9YFB5|A0A3M9YFB5_9PEZI	A0A3M9YFB5_9PEZI	cutinase (EC 3.1.1.74)	Verticillium nonalfalfae	Verticillium	309	unreviewed	ec_cutinase	Cutinase	NA
A0A3N0E3M2	tr|A0A3N0E3M2|A0A3N0E3M2_9ACTN	A0A3N0E3M2_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Halostreptopolyspora alba	Halostreptopolyspora	282	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A3N0EHU6	tr|A0A3N0EHU6|A0A3N0EHU6_9ACTN	A0A3N0EHU6_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Halostreptopolyspora alba	Halostreptopolyspora	311	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A3N1CRP0	tr|A0A3N1CRP0|A0A3N1CRP0_9ACTN	A0A3N1CRP0_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinocorallia herbida	Actinocorallia	288	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A3N1D5H5	tr|A0A3N1D5H5|A0A3N1D5H5_9ACTN	A0A3N1D5H5_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Actinocorallia herbida	Actinocorallia	278	unreviewed	ec_petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A3N1D7Y0	tr|A0A3N1D7Y0|A0A3N1D7Y0_9ACTN	A0A3N1D7Y0_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinocorallia herbida	Actinocorallia	292	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A3N1DC31	tr|A0A3N1DC31|A0A3N1DC31_9ACTN	A0A3N1DC31_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Actinocorallia herbida	Actinocorallia	305	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A3N4HSF9	tr|A0A3N4HSF9|A0A3N4HSF9_ASCIM	A0A3N4HSF9_ASCIM	Cutinase (EC 3.1.1.74)	Ascobolus immersus RN42	Ascobolus	261	unreviewed	ec_cutinase	Cutinase	NA
A0A3R9DT78	tr|A0A3R9DT78|A0A3R9DT78_9PSEU	A0A3R9DT78_9PSEU	PET hydrolase/cutinase-like domain-containing protein	Amycolatopsis eburnea	Amycolatopsis	310	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A3T1D9P2	tr|A0A3T1D9P2|A0A3T1D9P2_9BACL	A0A3T1D9P2_9BACL	PET hydrolase/cutinase-like domain-containing protein	Cohnella abietis	Cohnella	309	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A410DYU7	tr|A0A410DYU7|A0A410DYU7_9CLOT	A0A410DYU7_9CLOT	PET hydrolase/cutinase-like domain-containing protein	Clostridium manihotivorum	Clostridium	304	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A4Q7J964	tr|A0A4Q7J964|A0A4Q7J964_9PSEU	A0A4Q7J964_9PSEU	PET hydrolase/cutinase-like domain-containing protein	Amycolatopsis suaedae	Amycolatopsis	303	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A4Q7KNA4	tr|A0A4Q7KNA4|A0A4Q7KNA4_9PSEU	A0A4Q7KNA4_9PSEU	PET hydrolase/cutinase-like domain-containing protein	Herbihabitans rhizosphaerae	Herbihabitans	283	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A4R2GNM0	tr|A0A4R2GNM0|A0A4R2GNM0_9BACT	A0A4R2GNM0_9BACT	PET hydrolase/cutinase-like domain-containing protein	Natronoflexus pectinivorans	Natronoflexus	305	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A4R4NB20	tr|A0A4R4NB20|A0A4R4NB20_9ACTN	A0A4R4NB20_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura bangladeshensis	Actinomadura	340	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A4R4W6Q2	tr|A0A4R4W6Q2|A0A4R4W6Q2_9ACTN	A0A4R4W6Q2_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nonomuraea diastatica	Nonomuraea	312	unreviewed	ec_cutinase,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
